id,genre,track_name,artist_name,valence,acousticness,danceability,instrumentalness,key,liveness,loudness,speechiness,tempo,energy
5MK3k5UE46fBi0rN4GWTa3,afrobeat,Ezuku Buzo,Various Artists,0.923,0.7,0.809,0.0,5,0.166,-9.86,0.489,114.911,0.535
5OprIO7jAo89hAeX5lpI2w,afrobeat,Yoruba,King Sunny Ade,0.963,0.52,0.629,0.0208,5,0.165,-15.811,0.0557,118.925,0.544
1dfXWdnp0hlV3nmyc2stei,afrobeat,Beng Beng Beng,Femi Kuti,0.912,0.013,0.756,0.00218,5,0.0765,-7.83,0.072,126.026,0.879
1RBW2Fjc8uJXI3diCJUXjf,afrobeat,Don't Give That Shit To Me,Egypt 80,0.97,0.0548,0.698,0.00105,5,0.105,-6.715,0.0304,110.53,0.873
3kIKWXjCRXQwhyCxRsyy3B,afrobeat,5 and 6,Naeto C,0.889,0.12,0.66,0.00029,0,0.292,-4.421,0.0462,125.067,0.894
3F7o4t1uwmrZwym5iNiGbV,afrobeat,Yangiluma Inkukhu (The Biting Chicken),Ladysmith Black Mambazo,0.739,0.955,0.379,0.0,8,0.125,-10.569,0.0901,92.724,0.347
2he169BxArR5AMYlgJIAXr,afrobeat,Zen,Rokia Traoré,0.861,0.4,0.681,0.0561,5,0.372,-16.336,0.117,126.193,0.458
1r51oCzMSTi5KQrphqCleh,afrobeat,Yer Bounda Fara,Ali Farka Touré,0.733,0.724,0.813,0.00247,3,0.101,-9.87,0.0399,117.08,0.367
5xyHKMREElSvYLz37w3fIE,afrobeat,Arawan,Tinariwen,0.216,0.733,0.659,0.0,9,0.101,-14.074,0.0902,85.046,0.395
6m9geVsbI6BsPZ6CESmK3c,afrobeat,Décalé Gwada,Jessy Matador,0.927,0.138,0.844,0.0,1,0.155,-2.514,0.127,125.15,0.943
27eniaCdcAbXMigvOtlnK1,afrobeat,Oliver Twist,D'banj,0.85,0.379,0.843,1.11e-05,8,0.113,-4.914,0.0668,125.02,0.9
0bg6otrW5gxNnlCqrCrXyd,afrobeat,Dynamite,Taio Cruz,0.818,0.00332,0.754,0.0,4,0.0329,-3.177,0.0853,119.968,0.804
3MAgZPrgUa2mmlKELMzLOs,afrobeat,One Love,Sara Tavares,0.724,0.725,0.749,0.000146,1,0.118,-7.778,0.0442,119.978,0.616
4Jh36W007VJNNj0O7TSZRe,afrobeat,Nchi Ya Kitu Kidogo,Eric Wainaina,0.919,0.377,0.715,0.0,8,0.0827,-7.985,0.0559,122.869,0.703
400CBFfdPAqN2jt6C2qoUs,afrobeat,Bum Bum,Various Artists,0.914,0.141,0.913,2.5e-06,7,0.0836,-3.932,0.166,126.045,0.536
6cXxiqfG42YDbfUhssJ2d4,afrobeat,L.A.,Habib Koité,0.47,0.888,0.383,0.0,3,0.145,-10.048,0.033,166.416,0.316
4kllrpe5aqUAjBobwsbOD3,afrobeat,Ngalula,Pompom Kuleta,0.943,0.093,0.713,0.0143,2,0.0818,-4.452,0.0466,127.782,0.927
2Az6zgqMvTtz1BnxKtjE8e,afrobeat,M'bifé (balafon),Amadou & Mariam,0.963,0.447,0.734,0.887,4,0.172,-6.597,0.0398,109.011,0.791
7a37qKKyo2ZrtuBxeaIMvw,afrobeat,Queen Bee,Toumani Diabaté,0.687,0.916,0.494,0.004,7,0.0886,-10.057,0.0339,164.021,0.48
5XWA3kJzwdjVZd9aSEOtp3,afrobeat,Takkest Tamidaret,Tinariwen,0.514,0.879,0.694,0.000238,4,0.111,-9.351,0.0415,124.765,0.302
0yfeyqPCZrkyC3hxb6ycIH,afrobeat,Mwana,Staff Benda Bilili,0.921,0.0724,0.498,1.45e-06,1,0.245,-7.555,0.224,124.396,0.866
300DzFkBAgf9PgPbl0ta4o,afrobeat,Khona,Dschinghis Khan,0.448,0.0577,0.757,0.0426,10,0.189,-7.17,0.049,125.016,0.655
7MZphbmObz8ASYkG1CYhsS,afrobeat,Promesses Bla Bla,Tiken Jah Fakoly,0.647,0.422,0.767,0.000212,4,0.11,-6.401,0.0585,140.068,0.454
7tCPzFrFqPCUSGoroZR0VE,afrobeat,Combattants,Amadou & Mariam,0.785,0.264,0.735,0.00124,9,0.235,-6.081,0.0296,109.629,0.669
6t6oULCRS6hnI7rm0h5gwl,afrobeat,Some Nights,fun.,0.392,0.0178,0.672,6.75e-05,0,0.0927,-7.045,0.0506,107.938,0.738
3LZMPBsDMfp9Z2bO60Gm8a,afrobeat,Azonto,Various Artists,0.666,0.537,0.634,0.0,7,0.229,-5.83,0.0534,130.059,0.916
2gK3Mp8XdNk4wtXyytQTC9,afrobeat,Dieuf Dieul,Cheikh Lô,0.768,0.705,0.536,0.0152,4,0.107,-10.618,0.0656,126.742,0.579
4Q33HiVThLk7DDDAfyu8S2,afrobeat,Onyame eyhira(produced By Kaywa) (feat. Castro),Sarkodie,0.511,0.514,0.69,0.0,4,0.0369,-3.088,0.084,117.951,0.856
6MC0QTKf4VTZ6HWeTmNPGp,afrobeat,Tchintchirote,Cesária Evora,0.774,0.704,0.507,1.82e-05,5,0.357,-9.465,0.04,115.66,0.534
6jzbUvXYVbH6NrUS3WRMoL,afrobeat,Water No Get Enemy,Fela Kuti,0.902,0.129,0.641,0.0397,10,0.109,-7.544,0.0528,90.805,0.93
7CiUEtiR1ju65Ei6ZNximS,afrobeat,Keito,Ali Farka Touré,0.645,0.391,0.52,2.47e-05,9,0.0836,-18.348,0.0529,118.469,0.338
1dkvVCIP2IH8xLq94UROIU,afrobeat,Dianfa,Rokia Traoré,0.379,0.992,0.631,0.00385,4,0.0929,-16.894,0.0313,98.284,0.213
5AKFwJXmrUmMvH53mvWp5l,afrobeat,Wasuze Otya?,Samite,0.66,0.892,0.608,0.00489,9,0.369,-20.316,0.0656,194.107,0.25
5YgyvTZmdkIfFOnj8ri8mZ,afrobeat,Pakurumo,WizKid,0.967,0.525,0.879,0.00576,2,0.268,-5.412,0.0421,119.99,0.737
4aTVzrK2pUSSlBq0th31oB,afrobeat,Ukwu,Timaya,0.649,0.261,0.803,0.0116,1,0.656,-5.248,0.195,130.111,0.833
3z4y2ScH8vWAgwUUTZ5SJd,afrobeat,Shagu,Mulatu Astatke,0.95,0.89,0.494,0.0144,10,0.154,-12.71,0.0271,133.49,0.632
1JFQZHroU4ZM2kiN2tdnRw,afrobeat,Kounandi,Rokia Traoré,0.241,0.967,0.517,0.00832,2,0.0891,-14.902,0.0388,147.486,0.137
00zYtjzUkQbpb90Uh7XSNP,afrobeat,Sala Keba,Staff Benda Bilili,0.617,0.488,0.593,4.04e-06,9,0.0634,-8.37,0.102,139.538,0.59
3JRas7vmV7l3rjtQYNcLDN,alt-rock,Broken over You,Vertical Horizon,0.22,0.00431,0.516,0.00257,3,0.123,-5.571,0.0324,133.979,0.809
72K2qTw5e61sTUKSB4nDOt,alt-rock,Every Morning,J Mascis,0.515,0.172,0.501,0.00842,7,0.113,-10.009,0.0405,121.095,0.684
1C65EMS98C2cnJZA5DEEq8,alt-rock,Driveway to Driveway,Superchunk,0.405,0.0442,0.495,0.24,9,0.308,-6.289,0.0271,93.581,0.762
3Xs2N8U8Zf1e45PnExkPTy,alt-rock,Simple Machine,Guster,0.781,0.0101,0.624,0.00431,4,0.137,-7.018,0.0476,167.97,0.794
4VYc3oR2FH4ea4HYn07fBF,alt-rock,Green Utopia,The Vines,0.851,0.0185,0.642,6.38e-06,2,0.0555,-4.561,0.0617,137.009,0.81
7kF1iPJTj3VFJX9XokQ80F,alt-rock,Slither,Velvet Revolver,0.268,0.000266,0.478,0.0984,7,0.0738,-3.866,0.102,141.077,0.974
3VsYJCWecqxdwAN2Xu3cL5,alt-rock,Game Of Pricks,Guided By Voices,0.347,0.000414,0.331,0.0243,9,0.13,-5.525,0.0456,139.086,0.866
0tSSoikrj4Gprv5IEqCVlU,alt-rock,Temptation Eyes,Blake Babies,0.743,0.0219,0.568,0.000998,9,0.744,-9.334,0.0291,138.573,0.848
6lSr3iZTC144PKhvbPFzMp,alt-rock,Blurry,Puddle Of Mudd,0.523,0.00805,0.431,0.0,3,0.138,-4.507,0.0542,157.462,0.938
2daWGEfV5nmfEOb53S70Pi,alt-rock,Gone To The Movies,Semisonic,0.612,0.584,0.682,0.000784,0,0.0951,-10.017,0.0259,98.091,0.32
3fsnRK4dEe7NykXL5anAGp,alt-rock,Mutilated Lips,Ween,0.361,0.0587,0.565,0.000151,8,0.331,-8.526,0.0273,136.05,0.657
4v1ETu9iDDUZzNzRgM3hcR,alt-rock,Now It's On,Grandaddy,0.375,0.0119,0.619,0.000784,9,0.166,-8.827,0.0291,128.279,0.596
6ULdwUqVr1tkBCfLSsbu4j,alt-rock,Holiday (Single Mix),Wheatus,0.418,0.0228,0.475,2.86e-05,11,0.134,-4.349,0.0353,96.205,0.801
43ncKp8gVEEKQ0HM9XI8pw,alt-rock,Crazy B*tch,Buckcherry,0.679,0.0209,0.654,0.0,1,0.0865,-3.304,0.0861,98.044,0.974
5ciVbeefBaNOmaDXsN0amO,alt-rock,Everything Is Wrong,Interpol,0.432,4.42e-05,0.473,0.915,6,0.645,-4.745,0.0371,125.99,0.848
7LdKMBKthcdBnAqlAIGqCB,alt-rock,See A Little Light,Bob Mould,0.783,0.0168,0.552,0.0,2,0.0701,-9.106,0.0292,110.906,0.774
3lVYIS5tOCTHNGbS7gYusY,alt-rock,Devil Town,Daniel Johnston,0.305,0.961,0.466,0.0,10,0.137,-12.658,0.352,173.385,0.0846
1dmaXl48kB8627pNVww5fb,alt-rock,Thought Of Sound,The Rentals,0.359,1.29e-05,0.428,0.744,8,0.109,-5.515,0.0505,118.037,0.836
1ng36571Iyov4HBxUClySn,alt-rock,Pepper,Butthole Surfers,0.671,0.00589,0.631,0.00116,7,0.16,-5.492,0.166,79.898,0.804
7u3iTAPPMwSGI2Qba88Qfy,alt-rock,The Old And The Young,Midlake,0.276,0.163,0.608,0.792,6,0.109,-6.673,0.0344,123.157,0.783
2SSBJhvMsujY94GK5JAtKs,alt-rock,Buena,Morphine,0.591,0.106,0.566,0.179,10,0.133,-12.242,0.0619,96.641,0.494
7c1Dar0pIAW7w5TzaGjt9t,alt-rock,Jane Says,Jane's Addiction,0.496,0.0385,0.402,2.09e-06,2,0.109,-9.258,0.0327,81.806,0.597
7dSCxR4LqkmxoBrq9MzVSD,alt-rock,Psycho Killer,Talking Heads,0.944,0.0586,0.721,0.00259,2,0.122,-12.139,0.0661,123.384,0.401
5mZrhh1eP7YJpdMyOogroU,alt-rock,Andrew in Drag,The Magnetic Fields,0.449,0.46,0.675,0.00091,0,0.333,-6.282,0.0298,119.973,0.725
77EwrXeCpbMMlWHqhdeFxJ,alt-rock,I Will Dare,The Replacements,0.551,0.00104,0.427,0.0257,7,0.195,-4.174,0.106,167.412,0.932
64y2b8pfVjN9vMvAmon9Po,alt-rock,Sunray Venus,Throwing Muses,0.929,0.0311,0.411,0.000718,5,0.0664,-5.566,0.0285,171.886,0.854
0E81UOGvTqck6jrS0QCOhF,alt-rock,Man On the Run,Bush,0.277,0.00891,0.478,1.41e-06,9,0.361,-5.378,0.0387,157.825,0.827
0Y5WpxWZrLpHz08rfAjyfF,alt-rock,The Line,Phish,0.474,0.385,0.677,8.21e-05,3,0.0716,-7.201,0.0331,112.412,0.615
0IVT2zUgpMzyEx2TTM1HgB,alt-rock,Gold Soundz,Pavement,0.478,0.0663,0.448,0.0,9,0.101,-9.38,0.0313,126.579,0.61
0sN5bVcf5W4Dq8kop1HqdR,alt-rock,Everyone's On Tour,Nada Surf,0.432,2.92e-05,0.37,2.82e-05,0,0.227,-4.741,0.042,151.108,0.917
7FhBSLKkjTFTcqsnDFye9d,alt-rock,Change,Blind Melon,0.527,0.625,0.432,3.84e-05,2,0.128,-7.336,0.033,79.369,0.555
55MEbqyxZphjB0beZ7YT0f,alt-rock,Birthday,The Sugarcubes,0.221,0.0276,0.325,0.000345,0,0.0788,-8.203,0.0422,183.156,0.657
5fxfwjQ1OmbnkOlg39HsSO,alt-rock,I Got A Girl,Tripping Daisy,0.686,0.00968,0.617,0.0,7,0.105,-8.577,0.0498,134.639,0.838
22b8heZ3eqjtXEAafnxFM5,alt-rock,Stone,Alice In Chains,0.543,6.35e-06,0.455,0.793,1,0.0875,-3.853,0.0408,75.969,0.879
3ygfz94pyD2h9rLTQu8BJw,alt-rock,Nothing Left to Lose,Wipers,0.723,0.0116,0.498,0.436,0,0.116,-10.751,0.0341,154.279,0.593
4Ze0s4HrArYiz2P6l8qqxh,alt-rock,Pretty Baby,Brendan Benson,0.512,0.118,0.566,0.531,2,0.107,-13.04,0.0361,144.123,0.439
4E6YM4V7Kz6zpbiNsliwEl,alt-rock,Just Like Honey,The Jesus and Mary Chain,0.535,0.000231,0.321,0.0252,8,0.0836,-15.836,0.0447,122.74,0.437
2toY6JyyfKy9TwNk3Ou2XG,alt-rock,She's so Mean,Matchbox Twenty,0.676,0.0136,0.672,0.0,0,0.279,-3.728,0.0378,118.014,0.875
351zlSrEZvnCB9Nbxi0dz0,alt-rock,Do It Nation,Half Japanese,0.649,0.232,0.499,0.176,11,0.122,-3.544,0.0724,136.307,0.968
4pkFvX3AkuiSGPkv8gMlks,alt-rock,Save Me,Remy Zero,0.294,0.000639,0.43,0.0,6,0.107,-3.91,0.0672,96.235,0.971
0jWYqV3YgQ5PjqeZ7qCoOB,alt-rock,If I Were Me,Sound City - Real to Reel,0.361,0.0838,0.428,1.07e-05,4,0.113,-9.206,0.0249,92.569,0.461
2rFT9auiubp7nlaX7wknwI,alt-rock,Patty Lee,Les Savy Fav,0.776,0.00119,0.571,0.000521,9,0.114,-5.16,0.0438,129.974,0.923
1gL9aBoBJI0nfk2WdpaKi3,alt-rock,Antiphon,Midlake,0.461,0.0907,0.291,0.203,11,0.638,-4.261,0.0413,164.771,0.814
78CA8f1v6YNddjyXzizA7h,alt-rock,"It's Alright, It's OK",Primal Scream,0.546,0.185,0.547,1.15e-05,2,0.245,-4.595,0.0614,88.105,0.973
4z4PB23xYTg1oANmyZovsw,alt-rock,Why Can't I?,Liz Phair,0.227,0.0273,0.487,0.0,11,0.165,-4.849,0.0405,80.958,0.759
0cTJ3r2rK5XgHdndYHwLzn,alt-rock,I Wanna Take You Home,Nada Surf,0.45,0.000236,0.421,0.000151,2,0.174,-7.121,0.0298,101.971,0.788
0wEAdo7Vmf9SqE4UMygI1m,alt-rock,Invisible,Dismemberment Plan,0.292,0.0774,0.51,0.000117,2,0.191,-5.79,0.0975,136.453,0.904
1mMe0felnLtY2QjR7VcgrA,alt-rock,Do Or Die,Thirty Seconds To Mars,0.432,0.00177,0.515,1.13e-06,2,0.153,-5.513,0.0562,135.078,0.825
4Az4FAhbPQ8PcT7BtuCfJh,alt-rock,Only Run,Clap Your Hands Say Yeah,0.196,0.268,0.449,0.0138,1,0.337,-3.228,0.0581,153.333,0.84
5SOI4RfSy23OQlXRTAtcL0,alt-rock,Screamager,Therapy?,0.455,0.000236,0.182,0.131,2,0.674,-6.226,0.09,176.578,0.894
6JugKFXssO9L2tN8omeTPt,alternative,Thunder Clatter,Wild Cub,0.635,0.301,0.6,1.88e-06,6,0.19,-2.444,0.0329,123.019,0.968
3mga1z1FesVlx87hYPwLTf,alternative,Screaming Skull,King Tuff,0.674,0.0002,0.351,0.0343,5,0.142,-6.021,0.0409,147.477,0.863
4NwJWJ7rIZBnv8TwNRhGG2,alternative,Left Hand Free,alt-J,0.802,0.462,0.697,0.00943,3,0.083,-4.465,0.0462,101.99,0.877
2D1uFfnp5ylRPNYbdEa5Kv,alternative,Life on the Nickel,Foster The People,0.74,0.0523,0.694,0.00338,5,0.293,-5.4,0.0784,120.014,0.951
6xy6jNeNTYwjnKTDzMyHw2,alternative,Zombie,The Cranberries,0.313,0.0158,0.309,0.00595,7,0.367,-8.994,0.035,166.915,0.649
0KpfYajJVVGgQ32Dby7e9i,alternative,"Hey, Soul Sister",Train,0.768,0.217,0.675,0.0,1,0.086,-4.432,0.0436,97.03,0.885
5vzBINdo3GbOk6AWdbFoT5,alternative,Ill Fit,Wave Machines,0.706,0.0557,0.611,0.591,5,0.0701,-9.946,0.0701,170.346,0.56
574GJ55EBM79W6n2V5bL5z,alternative,Slow It Down,The Lumineers,0.108,0.929,0.428,0.0,1,0.0859,-14.42,0.0374,142.436,0.064
3dvnVubqVeeOjabs0wC1YB,alternative,Gun Has No Trigger,Dirty Projectors,0.345,0.655,0.681,3.7e-06,9,0.0939,-5.931,0.0447,101.118,0.662
3ItzRpwvKtkDSNdRSjXu7Z,alternative,Chelsea Dagger,The Fratellis,0.552,0.0505,0.512,0.0,7,0.0775,-3.154,0.142,154.607,0.817
1IGkKaoHZLodoscIoHVia0,alternative,Do You Want To,Franz Ferdinand,0.748,0.0884,0.414,0.000612,0,0.81,-2.887,0.047,123.091,0.939
3HE50TVRquwXe9yv2HFoNL,alternative,Never Too Late,Three Days Grace,0.217,0.00838,0.433,0.0,2,0.163,-4.68,0.0371,149.864,0.778
